0,1,2,3,4,5,6,7,8,9,10
chicken,other vegetables,pastry,onions,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
whole milk,herbs,,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
specialty chocolate,soda,pet care,,,,,,,,
canned beer,bottled beer,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
soda,whole milk,,,,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
tropical fruit,butter milk,brown bread,,,,,,,,
citrus fruit,waffles,,,,,,,,,
coffee,soda,frozen vegetables,,,,,,,,
newspapers,whole milk,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
pork,hard cheese,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,domestic eggs,,,,,,,,,
bottled water,shopping bags,bottled water,,,,,,,,
brown bread,soda,butter,shopping bags,,,,,,,
butter,frozen meals,,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
beverages,pastry,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
canned beer,hamburger meat,cake bar,,,,,,,,
cling film/bags,fruit/vegetable juice,,,,,,,,,
sausage,dishes,rum,,,,,,,,
chicken,pasta,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
sausage,grapes,,,,,,,,,
chicken,onions,,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
butter milk,yogurt,,,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
salty snack,canned beer,,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,butter,whole milk,,,,,,,,
whole milk,bottled water,whipped/sour cream,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
berries,processed cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pasta,mustard,syrup,,,,,,,,
tropical fruit,photo/film,,,,,,,,,
tropical fruit,herbs,chocolate,,,,,,,,
dessert,domestic eggs,,,,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
pork,hygiene articles,,,,,,,,,
soda,pastry,,,,,,,,,
beef,butter,yogurt,,,,,,,,
canned beer,whole milk,onions,coffee,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
tropical fruit,chewing gum,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
cream cheese ,cleaner,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sliced cheese,pudding powder,,,,,,,,,
canned beer,whole milk,,,,,,,,,
chicken,dog food,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
chewing gum,sugar,,,,,,,,,
pip fruit,beverages,pastry,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
onions,vinegar,,,,,,,,,
waffles,chicken,hard cheese,dishes,,,,,,,
canned beer,brown bread,,,,,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
citrus fruit,yogurt,citrus fruit,sausage,hard cheese,napkins,margarine,cream cheese ,,,
canned beer,yogurt,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
butter,bottled water,bottled water,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
pork,sliced cheese,,,,,,,,,
ham,cream cheese ,,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,candy,,,,,,,,,
pip fruit,napkins,shopping bags,,,,,,,,
chicken,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
meat,citrus fruit,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
tropical fruit,soda,butter milk,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
pastry,pasta,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
whole milk,ice cream,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
brown bread,butter milk,oil,frozen meals,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
chicken,coffee,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
bottled beer,herbs,,,,,,,,,
dessert,shopping bags,,,,,,,,,
chocolate marshmallow,yogurt,detergent,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
whole milk,shopping bags,,,,,,,,,
soda,rolls/buns,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
citrus fruit,beef,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
beef,pastry,,,,,,,,,
sausage,margarine,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
whole milk,cake bar,,,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
chicken,yogurt,,,,,,,,,
pastry,frozen potato products,,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
citrus fruit,waffles,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
salty snack,whole milk,,,,,,,,,
sparkling wine,cream cheese ,,,,,,,,,
pastry,butter,,,,,,,,,
specialty chocolate,herbs,,,,,,,,,
soda,yogurt,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
root vegetables,frozen meals,,,,,,,,,
sausage,mustard,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
pip fruit,snack products,,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
long life bakery product,rolls/buns,UHT-milk,bottled water,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
root vegetables,tropical fruit,,,,,,,,,
grapes,chicken,,,,,,,,,
herbs,whole milk,frozen dessert,,,,,,,,
hamburger meat,pasta,,,,,,,,,
sauces,shopping bags,,,,,,,,,
white bread,napkins,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
pastry,curd,bottled beer,,,,,,,,
specialty bar,cleaner,,,,,,,,,
meat,root vegetables,margarine,,,,,,,,
onions,butter,soups,,,,,,,,
frankfurter,dishes,,,,,,,,,
butter milk,pip fruit,,,,,,,,,
butter milk,long life bakery product,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
whole milk,newspapers,,,,,,,,,
meat,canned beer,,,,,,,,,
beef,whole milk,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
frozen meals,soups,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
frozen vegetables,pip fruit,hygiene articles,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
sausage,curd,salty snack,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
coffee,pip fruit,,,,,,,,,
pork,pip fruit,whole milk,shopping bags,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
yogurt,grapes,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,pork,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
UHT-milk,pastry,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,bottled water,butter milk,chocolate,zwieback,shopping bags,,,,,
specialty bar,bottled beer,,,,,,,,,
soft cheese,pip fruit,whole milk,,,,,,,,
pork,brown bread,,,,,,,,,
pork,domestic eggs,,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
pastry,waffles,,,,,,,,,
beef,ham,,,,,,,,,
butter,butter,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
white bread,salty snack,,,,,,,,,
grapes,pickled vegetables,,,,,,,,,
semi-finished bread,whole milk,fruit/vegetable juice,,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
yogurt,newspapers,,,,,,,,,
beef,canned beer,,,,,,,,,
beef,shopping bags,,,,,,,,,
butter,onions,napkins,,,,,,,,
specialty bar,canned beer,,,,,,,,,
canned beer,newspapers,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
cat food,sparkling wine,,,,,,,,,
misc. beverages,soft cheese,,,,,,,,,
sugar,canned vegetables,,,,,,,,,
hygiene articles,rolls/buns,red/blush wine,,,,,,,,
pastry,mustard,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
frozen fish,whole milk,tropical fruit,butter,coffee,,,,,,
other vegetables,shopping bags,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
white wine,pastry,hard cheese,coffee,hygiene articles,,,,,,
ham,sugar,,,,,,,,,
beef,pip fruit,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
beverages,specialty bar,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
sweet spreads,male cosmetics,,,,,,,,,
liquor,chicken,,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
soda,rolls/buns,,,,,,,,,
berries,dog food,,,,,,,,,
soda,pip fruit,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
rolls/buns,other vegetables,soda,chocolate,,,,,,,
pet care,spread cheese,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
onions,soft cheese,,,,,,,,,
onions,domestic eggs,shopping bags,,,,,,,,
whole milk,soda,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
berries,whipped/sour cream,other vegetables,other vegetables,newspapers,,,,,,
yogurt,whole milk,onions,sugar,,,,,,,
whole milk,organic products,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
softener,soda,,,,,,,,,
canned beer,newspapers,,,,,,,,,
margarine,sweet spreads,,,,,,,,,
canned beer,yogurt,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
bottled water,liquor,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
seasonal products,soups,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
misc. beverages,dessert,spread cheese,onions,coffee,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
onions,whole milk,,,,,,,,,
pastry,napkins,,,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
frozen meals,napkins,,,,,,,,,
root vegetables,napkins,,,,,,,,,
liver loaf,white bread,herbs,pastry,,,,,,,
liver loaf,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
ham,whole milk,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
whole milk,baking powder,,,,,,,,,
pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
other vegetables,specialty chocolate,chocolate,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
root vegetables,coffee,,,,,,,,,
soda,red/blush wine,,,,,,,,,
brown bread,cat food,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
butter,citrus fruit,,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
pork,citrus fruit,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
other vegetables,mustard,,,,,,,,,
curd,cream cheese ,,,,,,,,,
whole milk,brown bread,soda,,,,,,,,
canned beer,shopping bags,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
pork,root vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
pork,liquor,,,,,,,,,
onions,pip fruit,whipped/sour cream,,,,,,,,
ham,dessert,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
tropical fruit,grapes,,,,,,,,,
yogurt,napkins,,,,,,,,,
photo/film,brown bread,,,,,,,,,
pastry,berries,,,,,,,,,
pastry,seasonal products,butter,bottled beer,,,,,,,
coffee,sausage,salt,white wine,,,,,,,
mustard,whole milk,,,,,,,,,
cream cheese ,semi-finished bread,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
chicken,bottled water,,,,,,,,,
pork,red/blush wine,,,,,,,,,
herbs,pip fruit,,,,,,,,,
ham,whole milk,other vegetables,soda,white bread,tropical fruit,sugar,,,,
whole milk,pip fruit,,,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
sweet spreads,bottled beer,,,,,,,,,
pastry,whole milk,,,,,,,,,
butter milk,chocolate,berries,sweet spreads,butter,long life bakery product,napkins,white bread,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
whole milk,cream cheese ,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
yogurt,coffee,,,,,,,,,
pastry,other vegetables,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
pork,pastry,,,,,,,,,
cereals,cream cheese ,other vegetables,,,,,,,,
sausage,tropical fruit,pork,rolls/buns,,,,,,,
whole milk,flour,,,,,,,,,
whole milk,pastry,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
soda,ham,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,whipped/sour cream,whipped/sour cream,,,,,,,,
other vegetables,candy,napkins,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
bottled beer,soda,bottled water,cat food,,,,,,,
soda,napkins,,,,,,,,,
yogurt,whole milk,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
soda,newspapers,,,,,,,,,
butter,berries,cereals,,,,,,,,
chicken,fruit/vegetable juice,cake bar,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
margarine,bathroom cleaner,,,,,,,,,
root vegetables,meat,,,,,,,,,
sausage,other vegetables,waffles,,,,,,,,
long life bakery product,soda,soda,,,,,,,,
processed cheese,onions,root vegetables,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
chicken,margarine,yogurt,,,,,,,,
beverages,bottled water,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
chicken,coffee,,,,,,,,,
pastry,other vegetables,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
sausage,chicken,canned beer,pip fruit,,,,,,,
soda,vinegar,napkins,,,,,,,,
whole milk,chocolate,,,,,,,,,
beef,whole milk,,,,,,,,,
root vegetables,root vegetables,citrus fruit,cat food,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
sausage,pork,,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
bottled beer,white bread,,,,,,,,,
frankfurter,ice cream,specialty cheese,coffee,,,,,,,
beef,bottled water,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,beef,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
beverages,yogurt,,,,,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
frankfurter,cream cheese ,,,,,,,,,
hygiene articles,chocolate,soups,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
bottled beer,canned beer,dish cleaner,,,,,,,,
sugar,dish cleaner,,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
pork,dessert,,,,,,,,,
herbs,margarine,rolls/buns,chocolate,,,,,,,
sausage,frozen vegetables,onions,canned beer,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
beef,pasta,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
sliced cheese,liquor,hygiene articles,,,,,,,,
root vegetables,yogurt,specialty bar,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
white bread,whole milk,pastry,shopping bags,,,,,,,
brown bread,whole milk,,,,,,,,,
sausage,frozen dessert,brown bread,other vegetables,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
whole milk,chocolate,,,,,,,,,
whole milk,butter,,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
yogurt,brown bread,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
coffee,whole milk,,,,,,,,,
bottled water,soda,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
butter milk,zwieback,pot plants,,,,,,,,
tidbits,berries,,,,,,,,,
specialty chocolate,margarine,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
onions,chicken,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
UHT-milk,flour,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
fish,newspapers,,,,,,,,,
whole milk,white bread,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
fruit/vegetable juice,detergent,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
soda,soda,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
ham,canned beer,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
hamburger meat,sausage,grapes,soda,,,,,,,
specialty chocolate,brandy,,,,,,,,,
roll products ,rice,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
herbs,grapes,butter,,,,,,,,
canned beer,grapes,bottled beer,yogurt,,,,,,,
berries,curd,,,,,,,,,
pork,frankfurter,other vegetables,potato products,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
zwieback,salty snack,,,,,,,,,
meat,oil,candles,female sanitary products,,,,,,,
ham,grapes,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
brown bread,soda,,,,,,,,,
soda,long life bakery product,,,,,,,,,
brandy,pastry,,,,,,,,,
